location:x, location:y, action, reward
-5.099, 7.014, 3.000, -0.635
-5.198, 7.028, 3.000, -0.638
-5.297, 7.042, 3.000, -0.640
-5.396, 7.056, 3.000, -0.642
-5.495, 7.071, 3.000, -0.644
-5.594, 7.085, 3.000, -0.647
-5.693, 7.099, 3.000, -0.649
-5.099, 7.014, 3.000, -12.667
-5.198, 7.028, 3.000, -6.567
-5.297, 7.042, 3.000, -6.517
-5.396, 7.056, 3.000, -6.470
-5.495, 7.071, 3.000, -0.594
-5.594, 7.085, 3.000, -12.393
-5.693, 7.099, 3.000, -6.527
-5.792, 7.113, 3.000, -0.611
-5.891, 7.127, 3.000, -0.614
-5.990, 7.141, 3.000, -0.616
-6.089, 7.155, 3.000, -0.618
-6.188, 7.169, 3.000, -0.621
-6.287, 7.183, 3.000, -35.646
-6.386, 7.198, 3.000, -0.602
-6.485, 7.212, 3.000, -0.605
-6.584, 7.226, 3.000, -45.239
-6.683, 7.240, 3.000, -5.971
-6.782, 7.254, 3.000, -0.558
-6.881, 7.268, 3.000, -5.941
-6.980, 7.282, 3.000, -0.554
-7.079, 7.296, 3.000, -0.556
-7.178, 7.310, 3.000, -0.559
-7.277, 7.325, 3.000, -0.561
-7.376, 7.339, 3.000, -0.564
-7.475, 7.353, 3.000, -0.566
-7.574, 7.367, 3.000, -0.569
-7.673, 7.381, 3.000, -0.571
-7.772, 7.395, 3.000, -0.574
-7.871, 7.409, 3.000, -0.576
-7.970, 7.423, 3.000, -5.936
-8.069, 7.437, 3.000, -5.909
-8.168, 7.452, 3.000, -0.566
-8.267, 7.466, 3.000, -0.568
-8.366, 7.480, 3.000, -0.571
-8.465, 7.494, 3.000, -0.573
-8.564, 7.508, 3.000, -0.575
-8.663, 7.522, 3.000, -0.578
-8.762, 7.536, 3.000, -0.580
-8.861, 7.550, 3.000, -0.582
-8.960, 7.564, 3.000, -0.584
-9.059, 7.579, 3.000, -5.904
-9.158, 7.593, 3.000, -5.881
-9.257, 7.607, 3.000, -5.839
-9.356, 7.621, 3.000, -5.775
-9.455, 7.635, 3.000, -5.754
-9.554, 7.649, 3.000, -0.570
-9.653, 7.663, 3.000, -0.572
-9.752, 7.677, 3.000, -5.740
-9.851, 7.691, 3.000, -5.724
-9.950, 7.706, 3.000, -0.563
-9.986, 7.612, 3.000, -5.713
-9.963, 7.515, 3.000, -5.700
-9.890, 7.447, 3.000, -5.668
-9.989, 7.462, 3.000, -5.678
-9.997, 7.561, 3.000, -5.669
-9.948, 7.648, 3.000, -5.591
-9.849, 7.634, 3.000, -5.578
-9.948, 7.648, 3.000, -5.567
-9.985, 7.555, 3.000, -5.563
-9.886, 7.541, 3.000, -5.560
-9.985, 7.555, 3.000, -0.515
-9.911, 7.488, 3.000, -5.455
-9.947, 7.394, 3.000, -5.453
-9.848, 7.380, 3.000, -5.457
-9.947, 7.394, 3.000, -5.458
-9.924, 7.297, 3.000, -5.467
-9.961, 7.204, 3.000, -5.321
-9.862, 7.190, 3.000, -0.476
-9.961, 7.204, 3.000, -5.330
-9.862, 7.190, 3.000, -0.469
-9.961, 7.204, 3.000, -10.238
-9.997, 7.111, 3.000, -5.374
